camélido|ca-mé-li-do|Mamífero rumiante tilópodo  propio de los desiertos  como el camello y la llama;;;
camélido|ca-mé-li-do|Mamífero rumiante tilópodo, propio de los desiertos, como el camello y la llama;;;
camello|ca-me-llo|Mamífero rumiante de cuello muy largo, cabeza pequeña, con dos jorobas en el dorso;;;
cameraman|ca-me-ra-man|(Voz inglesa) Operador de cine;;;
camerino|ca-me-ri-no|Cuarto donde los actores se visten para salir a escena;;;
camerún|ca-me-rún|República al oeste de África central, capital: Yaundé;;;
camilla|ca-mi-lla|Cama angosta y portátil, que se lleva sobre varas o ruedas, para transportar enfermos y heridos;;;
Camilla|ca-mi-lla|Cama angosta y portátil, que se lleva sobre varas o ruedas, para transportar enfermos y heridos;;;
camillero|ca-mi-lle-ro|El que transporta la camilla de enfermos o heridos;;;
caminar|ca-mi-nar|Andar a pie;;;
caminata|ca-mi-na-ta|Paseo a pie;;;
caminera|ca-mi-ne-ra|(Policía ~) Cuerpo encargado de vigilar el cumplimiento de las leyes en las carreteras;;;
caminera|ca-mi-ne-ra|(Policía) Cuerpo encargado de vigilar el cumplimiento de las leyes en las carreteras;;;
camino|ca-mi-no|Tira de terreno más o menos amplia, dispuesta para transitar;;;
camión|ca-mión|Vehículo automóvil de cuatro o más ruedas, grande y fuerte, para transportar cargas pesadas;;;
camioneta|ca-mio-ne-ta|Vehículo automóvil menor que el camión, que sirve para transporte de mercancías;;;
camisa|ca-mi-sa|Prenda de vestir que se pone sobre el cuerpo o sobre la camiseta;;;
camisería|ca-mi-se-rí-a|Establecimiento del camisero;;;
camisero|ca-mi-se-ro|Persona que tiene por oficio hacer o vender camisas;;;
camiseta|ca-mi-se-ta|Parte superior del uniforme de los deportistas;;;
camisola|ca-mi-so-la|Camisa fina de hombre, de la cual destacan especialmente el cuello, puños y pechera;;;
camisolín|ca-mi-so-lín|Peto planchado  con cuello y sin espalda  que se ponía sobre la camiseta para excusar la camisola;;;
camisolín|ca-mi-so-lín|Peto planchado, con cuello y sin espalda, que se ponía sobre la camiseta para excusar la camisola;;;
camisón|ca-mi-són|Camisa larga, usada generalmente para dormir;;;
camomila|ca-mo-mi-la|Manzanilla, la hierba y su flor;;;
camorrero|ca-mo-rre-ro|Pendenciero, propenso a provocar riñas o pendencias;;;
camorrero|ca-mo-rre-ro|Pendenciero, propenso a riñas o pendencias;;;
campana|cam-pa-na|Instrumento de metal en forma de copa invertida que suena herido por el badajo o por un martillo exterior;;;
campana|cam-pa-na|No usado, inhabitual, raro;;;
campanada|cam-pa-na-da|Golpe que da el badajo en la campana y sonido que produce;;;
campaneo|cam-pa-ne-o|Reiterado toque de campanas;;;
campante|cam-pan-te|Fam. Ufano, satisfecho;;;
campeador|cam-pe-a-dor|Que sobresalía en el campo con acciones señaladas, por excelencia, el Cid Ruy Díaz de Vivar;;;
campear|cam-pe-ar|Amér. Recorrer el campo;;;
campeón|cam-pe-ón|Vencedor en un campeonato;;;
campesino|cam-pe-si-no|Persona que vive y trabaja en el campo, labrador;;;
campestre|cam-pes-tre|Fiesta, reunión, comida, etc., que se celebra en el campo;;;
campillo|cam-pi-llo|Ejido, campo pequeño;;;
camping|cam-ping|(Pal. ingl.) Actividad que consiste en vivir al aire libre, alojándose en tiendas de campaña;;;
campoamor|cam-po-a-mor|(Ramón de ~) Poeta español del Realismo (1817 - 1901);;;
campoamor|cam-po-a-mor|(Ramón de ~) Poeta español del Realismo (1817-1901);;;
campo|cam-po|Terreno extenso fuera de poblado;;;
camuflaje|ca-mu-fla-je|Arte de ocultar material de guerra;;;
camuflar|ca-mu-flar|Disfrazar, enmascarar, disimular, encubrir;;;
cana|ca-na|Cabello blanco;;;
canadá|ca-na-dá|País de Norteamérica al norte de Estados Unidos capital: Ottawa;;;
canadá|ca-na-dá|País de Norteamérica al norte de Estados Unidos, capital: Ottawa;;;
canaleta|ca-na-le-ta|Argent., Bol., Chile, Parag. Canalón, conducto que recibe y vierte el agua de los tejados;;;
canaleta|ca-na-le-ta|Canalón, conducto que recibe y vierte el agua de los tejados;;;
canalizar|ca-na-li-zar|Abrir canales;;;
canalla|ca-na-lla|Fig. Persona ruin y despreciable;;;
canallada|ca-na-lla-da|Dicho o hecho propio de un canalla;;;
canalón|ca-na-lón|Conducto que recibe y vierte el agua de los tejados;;;
canana|ca-na-na|Estuche, generalmente rectangular, de cuero, para llevar cartuchos, que usan los soldados sujeto al correaje;;;
canapé|ca-na-pé|Aperitivo consistente en una rebanada de pan sobre la que se extienden o colocan otras viandas;;;
canapés|ca-na-pés|Rebanadas de pan sobre las que se colocan otras viandas y se sirven como aperitivo;;;
canarias|ca-na-rias|Conjunto de siete islas mayores y seis menores, pertenecientes a España, en el océano Atlántico, frente a las costas africanas;;;
Canarias|ca-na-rias|Conjunto de siete islas mayores y seis menores, pertenecientes a España, en el océano Atlántico, frente a las costas africanas;;;
canasta|ca-nas-ta|Cesto de mimbre, ancho de boca, generalmente con dos asas;;;
canastero|ca-nas-te-ro|Persona que tiene por oficio hacer o vender canastos;;;
canastero|ca-nas-te-roPersona que tiene por oficio hacer o vender canastos;;;
canasto|ca-nas-to|Canasta de boca estrecha;;;
cancán|can-cán|Baile de origen francés;;;
cancelar|can-ce-lar|Saldar una deuda;;;
cáncer|cán-cer|Cuarto signo del Zodíaco, situada entre el Leo y Géminis;;;
canchero|can-che-ro|Amér. El que tiene una cancha de juego o cuida de ella;;;
canciller|can-ci-ller|Empleado auxiliar en las embajadas, legaciones, consulados y agencias diplomáticas y consulares;;;
candado|can-da-do|Cerradura suelta que por medio de armellas asegura puertas, tapas de cofre, etc.;;;
candeal|can-de-al|Variedad de trigo que da harina blanca de calidad superior;;;
candelero|can-de-le-ro|Utensilio para mantener derecha la vela;;;
candelero|can-de-le-ro|Utensilio para mantener derecha la vela o candela;;;
candente|can-den-te|Cuerpo, generalmente metálico, enrojecido o blanqueado por la acción del fuego;;;
candidato|can-di-da-to|Aspirante a alguna dignidad o cargo;;;
cándido|cán-di-do|Sencillo, sincero, sin malicia ni doblez;;;
candiel|can-diel|Manjar hecho con vino blanco, yemas de huevo, azúcar y algún otro ingrediente;;;
candileja|can-di-le-ja|Recipiente pequeño en que se pone aceite u otro combustible para que ardan una o más mechas;;;
candiota|can-dio-ta|Barril para vino u otro licor;;;
candombe|can-dom-be|Amér. Merid. Baile bullicioso de origen africano, ejecutado por comparsas;;;
candor|can-dor|Fig. Sinceridad y pureza de ánimo;;;
candoroso|can-do-ro-so|Fig. Sincero, puro de ánimo;;;
canelones|ca-ne-lo-nes|Trozos de pasta de harina de trigo, de forma rectangular, que envuelven un relleno de carne, pescado, verduras, etc.;;;
canesú|ca-ne-sú|Pieza superior de la camisa o blusa;;;
cangreja|can-gre-ja|Mar. Vela de forma trapezoidal que va en la popa;;;
cangrejal|can-gre-jal|Terreno en el que abundan los cangrejos;;;
cangrejal|can-gre-jal|Terreno pantanoso en el que abundan los cangrejos;;;
canguro|can-gu-ro|Mamífero marsupial, de Australia y Nueva Guinea;;;
caníbal|ca-ní-bal|Salvaje que come carne humana;;;
caníbales|ca-ní-ba-les|Salvajes de las Antillas, que eran tenidos por antropófagos;;;
canica|ca-ni-ca|Bolita de vidrio u otra materia dura, con que juegan los niños;;;
canicie|ca-ni-cie|Color cano del pelo;;;
canícula|ca-ní-cu-la|Período del año en que es más fuerte el calor;;;
cánido|cá-ni-do|Mamíferos carnívoros como el perro y el lobo;;;
cánidos|cá-ni-dos|Familia de mamíferos como el perro y el zorro;;;
canilla|ca-ni-lla|Grifo, llave para dar salida a un líquido;;;
canillita|ca-ni-lli-ta|Amér. Merid. Muchacho vendedor de periódicos;;;
caniquí|ca-ni-quí|Tela delgada hecha de algodón, que venía de la India;;;
canjear|can-je-ar|Cambiar una cosa por otra;;;
canoa|ca-no-a|Embarcación ligera, de remo o motor, de proa muy aguda y popa recta;;;
canon|ca-non|Modelo de características perfectas;;;
cánones|cá-no-nes|Normas o reglas establecidas por la costumbre como propias de cualquier actividad;;;
canónico|ca-nó-ni-co|Conforme a los cánones y demás disposiciones eclesiásticas;;;
canóniga|ca-nó-ni-ga|Fam. Siesta que se duerme antes de comer;;;
canónigo|ca-nó-ni-go|Miembro del cabildo de una catedral o colegiata;;;
canonizar|ca-no-ni-zar|Declarar solemnemente santo y poner en el catálogo de ellos a un siervo de Dios, ya beatificado;;;
canonjía|ca-non-jí-a|Prebenda y dignidad del canónigo;;;
canoso|ca-no-so|Que tiene blanco el cabello;;;
canotes|ca-no-tes|Depósitos naturales de agua subterránea, a gran profundidad;;;
canotié|ca-no-tié|Sombrero de paja de copa plana y ala recta;;;
cansado|can-sa-do|Fatigado, agotado, molesto;;;
cansancio|can-san-cio|Falta de fuerzas que resulta de haberse fatigado;;;
cansino|can-si-no|Lento, perezoso;;;
cantaor|can-ta-or|Persona que ejecuta cantos populares de España, especialmente de flamenco;;;
cantarín|can-ta-rín|Fam. Aficionado a cantar;;;
cántaro|cán-ta-ro|Vasija grande de barro o metal, de boca angosta, con una o dos asas;;;
cantata|can-ta-ta|Composición poética puesta en música, especialmente para ser cantada a varias voces;;;
cantera|can-te-ra|Sitio de donde se saca piedra;;;
cantería|can-te-rí-a|Arte de labrar las piedras para la construcción;;;
cantería|can-te-rí-a|Arte de labrar las piedras para las construcciones;;;
cantero|can-te-ro|Espacio delimitado en un parque, jardín o avenida para el cultivo de flores y plantas;;;
cántico|cán-ti-co|Canto religioso y particularmente el de acción de gracias;;;
cantidad|can-ti-dad|Todo lo que puede medirse o numerarse;;;
cantina|can-ti-na|Puesto público en que se venden bebidas y comestibles;;;
cantinela|can-ti-ne-la|Fig. Repetición molesta de alguna cosa;;;
cantinero|can-ti-ne-ro|Dueño de una cantina;;;
cantonera|can-to-ne-ra|Pieza puesta en las esquinas de libros, muebles, etc., para refuerzo o adorno;;;
cantoral|can-to-ral|Libro de coro;;;
cánula|cá-nu-la|Tubo corto que se emplea en diferentes operaciones de cirugía o que forma parte de aparatos físicos o quirúrgicos;;;
canutillo|ca-nu-ti-llo|Tubito sutil de vidrio usado en trabajos de pasamanería;;;
cañabota|ca-ña-bo-ta|Tiburón de gran tamaño, cabeza aplanada y hocico corto y redondeado;;;
cañadón|ca-ña-dón|Cañada angosta y profunda;;;
cañahuá|ca-ña-huá|Perú. Especie de mijo, que sirve de alimento a los indios, y con el cual, fermentado, se hace chicha;;;
cañamazo|ca-ña-ma-zo|Tela de tejido ralo, dispuesta para bordar en ella con seda o lana de colores;;;
cañaveral|ca-ña-ve-ral|Terreno donde abundan las cañas o cañaveras;;;
cañaveral|ca-ña-ve-ral|Terreno poblado de cañas;;;
cañería|ca-ñe-rí-a|Conducto formado de caños por donde se distribuye el agua y el gas;;;
cañerías|ca-ñe-rí-as|Conductos formados de caños por donde se distribuyen las aguas o el gas;;;
cañonazo|ca-ño-na-zo|Ruido, herida y daño producidos por el disparo del cañón;;;
cañonera|ca-ño-ne-ra|Tronera, abertura para disparar los cañones;;;
caolín|ca-o-lín|Arcilla blanca muy pura que se emplea en la fabricación de porcelanas, aprestos y medicamentos;;;
caos|ca-os|Confusión, desorden;;;
caos|ca-os|Fig. Confusión, desorden;;;
caótico|ca-ó-ti-co|Perteneciente o relativo al caos;;;
capa|ca-pa|Prenda de vestir larga y suelta, sin mangas, abierta por delante, que se lleva sobre la ropa;;;
capacete|ca-pa-ce-te|Pieza de la armadura, que cubría y defendía la cabeza;;;
capacidad|ca-pa-ci-dad|Fig. Aptitud intelectual, inteligencia, talento;;;
capacitar|ca-pa-ci-tar|Hacer a uno apto  habilitarle para alguna cosa;;;
capacitar|ca-pa-ci-tar|Hacer a uno apto, habilitarle para alguna cosa;;;
capacitor|ca-pa-ci-tor|Dispositivo pasivo, utilizado en electricidad y electrónica, capaz de almacenar energía sustentando un campo eléctrico, también llamado condensador eléctrico;;;
capacitor|ca-pa-ci-tor|Dispositivo utilizado en electricidad y electrónica, capaz de almacenar energía sustentando un campo eléctrico, también llamado condensador eléctrico;;;
caparazón|ca-pa-ra-zón|Envoltura rígida que protege todo o parte del cuerpo de algunos animales;;;
capataz|ca-pa-taz|Persona que tiene por oficio gobernar y vigilar a cierto número de operarios;;;
capcioso|cap-cio-so|Artificioso, engañoso;;;
capdevila|cap-de-vi-la|(Arturo ~)  Escritor argentino autor de poesías, novelas, cuentos, obras de teatro y ensayos históricos (1889 - 1967);;;
capdevila|cap-de-vi-la|(Arturo)  Escritor argentino autor de poesías, novelas, cuentos, obras de teatro y ensayos históricos (1889 - 1967);;;
Capdevila|cap-de-vi-la|(Arturo ~)  Escritor argentino autor de poesías, novelas, cuentos, obras de teatro y ensayos históricos (1889 - 1967);;;
capelina|ca-pe-li-na|Cir. Vendaje para la cabeza;;;
capellada|ca-pe-lla-da|Parte del calzado que cubre la punta del pie;;;
capellán|ca-pe-llán|Clérigo titular de una capellanía;;;
caperuza|ca-pe-ru-za|Bonete que remata en punta inclinada hacia atrás;;;
capibara|ca-pi-ba-ra|Arg. y Perú. Carpincho, roedor americano de hábitos acuáticos, que alcanza el metro y medio de longitud y llega a pesar hasta 80 kg;;;
capibara|ca-pi-ba-ra|Arg. y Perú. Carpincho, roedor americano de hábitos acuáticos, que alcanza el metro y medio de longitud y llega a pesar más de 80 kg;;;
capicúa|ca-pi-cú-a|Número que es igual leído de izquierda a derecha que de derecha a izquierda;;;
capilar|ca-pi-lar|Relativo al cabello;;;
capilla|ca-pi-lla|Iglesia pequeña;;;
capirote|ca-pi-ro-te|Especie de cucurucho cubierto de tela que usaron las damas en la Edad Media;;;
capisayo|ca-pi-sa-yo|Especie de capotillo abierto que sirve de capa y sayo;;;
capital|ca-pi-tal|Hacienda, bienes, caudal valuado en dinero;;;
capitana|ca-pi-ta-na|Nave en que va embarcado y arbola su insignia el jefe de una escuadra;;;
capitel|ca-pi-tel|Parte superior de la columna que corona el fuste;;;
capitolio|ca-pi-to-lio|Fig. Edificio majestuoso y elevado;;;
capitoné|ca-pi-to-né|Revestimiento en forma de colchón;;;
capitular|ca-pi-tu-lar|Entregarse una plaza de guerra o un ejército reunido;;;
capítulo|ca-pí-tu-lo|División que se hace en los libros u otros escritos para el mejor orden de la exposición;;;
capó|ca-pó|Cubierta o tapa del motor de un automóvil;;;
caponada|ca-po-na-da|Argent., Urug. Conjunto de carneros capones;;;
caporal|ca-po-ral|El que hace cabeza de alguna gente y la manda;;;
capota|ca-po-ta|Cubierta plegadiza de algunos automóviles y coches de caballos;;;
capotar|ca-po-tar|Volcar un vehículo de tal manera que quede en posición invertida;;;
capotazo|ca-po-ta-zo|Suerte del toreo hecha con el capote;;;
capotillo|ca-po-ti-llo|Capote corto que usaban las mujeres;;;
capri|ca-pri|Isla italiana situada el golfo de Nápoles, próxima a la ciudad de Nápoles;;;
capri|ca-pri|Isla italiana situada en la entrada del golfo de Nápoles, próxima a la ciudad de Nápoles;;;
Capri|ca-pri|Isla italiana situada en la entrada del golfo de Nápoles, próxima a la ciudad de Nápoles;;;
capricho|ca-pri-cho|Deseo vehemente, antojo;;;
caprino|ca-pri-no|Relativo a la cabra;;;
cápsula|cáp-su-la|Pequeña envoltura insípida y soluble en que se encierran ciertos medicamentos;;;
cápsulas|cáp-su-las|Pequeñas envolturas insípidas y solubles en que se encierran ciertos medicamentos;;;
captación|cap-ta-ción|Acción y efecto de captar;;;
capturar|cap-tu-rar|Aprehender a un delincuente, a un animal, etc.;;;
capucha|ca-pu-cha|Gorro cónico unido a la manteleta y caído sobre la espalda;;;
capuchino|ca-pu-chi-no|Café caliente mezclado con leche que se distingue por su color claro y por la espuma de la leche con que se sirve;;;
capuchón|ca-pu-chón|Cubierta de la pluma estilográfica, bolígrafo, etc.;;;
capuletos|ca-pu-le-tos|Enemigos de los Montesco en “Romeo y Julieta” de Shakespeare;;;
capuletos|ca-pu-le-tos|Enemigos de los Montesco en Romeo y Julieta de Shakespeare;;;
Capuletos|ca-pu-le-tos|Enemigos de los Montesco en Romeo y Julieta de Shakespeare;;;
capuletos|ca-pu-le-tos|Enemigos de los Montescos, en Romeo y Julieta de Shakespeare;;;
caquexia|ca-que-xia|Estado de deterioro orgánico, profundo y progresivo, que se caracteriza por adelgazamiento y debilitamiento muy acentuado;;;
carabela|ca-ra-be-la|Antigua embarcación larga y angosta  con una sola cubierta y tres palos;;;
carabela|ca-ra-be-la|Antigua embarcación larga y angosta, con una sola cubierta y tres palos;;;
carabina|ca-ra-bi-na|Arma de fuego de menor longitud que el fusil;;;
caracará|ca-ra-ca-rá|Carancho, ave falconiforme americana, de color pardo, con alas y cola blanquecinas;;;
caracas|ca-ra-cas|Capital y principal ciudad de Venezuela;;;
Caracas|ca-ra-cas|Capital y principal ciudad de Venezuela;;;
caracol|ca-ra-col|Parte del oído interno, constituida por un cono hueco arrollado en espiral;;;
carácter|ca-rác-ter|Modo de ser peculiar y privativo de cada persona;;;
caracú|ca-ra-cú|Amér. Tuétano de los animales y hueso que lo contiene;;;
caradura|ca-ra-du-ra|Fam. Sinvergüenza, descarado;;;
caramba|ca-ram-ba|Interjección con que se denota extrañeza o enfado;;;
carámbano|ca-rám-ba-no|Pedazo de hielo más o menos largo y puntiagudo;;;
carambola|ca-ram-bo-la|En el juego del billar, hacer que la bola con que se juega toque a las otras dos;;;
caramelo|ca-ra-me-lo|Pasta de azúcar hecho almíbar y endurecido sin cristalizar al enfriarse;;;
